order_id,customer_id,order_date,order_total,promised_time,actual_time,region
1000000000,93810,2023-07-08 08:47:17,687.74,2023-07-08 09:02:17,2023-07-08 09:00:18.776967,Koramangala
1000000001,21395,2024-05-21 08:01:05,624.73,2024-05-21 08:41:05,2024-05-21 08:12:50.628807,Jayanagar
1000000002,95181,2024-09-24 14:14:28,1514.24,2024-09-24 14:29:28,2024-09-24 14:20:54.216031,Marathahalli
1000000003,65392,2024-02-27 12:09:13,2397.31,2024-02-27 12:24:13,2024-02-27 12:15:05.226843,Whitefield
1000000004,55082,2023-12-11 20:02:46,1202.62,2023-12-11 20:32:46,2023-12-11 20:49:29.627875,Indiranagar
1000000005,92397,2024-03-20 17:12:45,266.93,2024-03-20 17:32:45,2024-03-20 17:31:32.586077,Bellandur
1000000006,40512,2023-06-27 14:17:29,1625.64,2023-06-27 14:37:29,2023-06-27 14:25:24.985906,Whitefield
1000000007,44993,2023-05-28 17:40:10,1381.94,2023-05-28 18:00:10,2023-05-28 17:48:56.756174,Koramangala
1000000008,93886,2024-10-06 11:43:20,2122.84,2024-10-06 11:58:20,2024-10-06 11:48:37.334132,Marathahalli
1000000009,51347,2024-04-29 12:04:13,2291.53,2024-04-29 12:29:13,2024-04-29 12:18:42.123636,Jayanagar
1000000010,94259,2024-06-27 10:16:08,691.91,2024-06-27 10:56:08,2024-06-27 10:41:00.555420,Jayanagar
1000000011,86484,2024-04-27 13:14:08,1322.86,2024-04-27 13:29:08,2024-04-27 13:20:30.534312,Indiranagar
1000000012,30969,2024-05-21 17:04:24,1015.89,2024-05-21 17:44:24,2024-05-21 17:28:12.580828,HSR Layout
1000000013,11504,2023-07-11 18:56:34,1902.11,2023-07-11 19:21:34,2023-07-11 19:43:57.436602,Marathahalli
1000000014,69470,2023-03-19 19:56:46,732.13,2023-03-19 20:16:46,2023-03-19 20:03:15.385091,Jayanagar
1000000015,91959,2024-01-15 21:40:32,1561.53,2024-01-15 22:05:32,2024-01-15 21:55:46.892094,Koramangala
1000000016,79514,2023-03-16 17:20:31,146.74,2023-03-16 17:45:31,2023-03-16 18:00:09.091822,Whitefield
1000000017,84364,2023-06-04 09:46:31,2058.46,2023-06-04 10:26:31,2023-06-04 09:55:52.918588,Marathahalli
1000000018,72296,2024-09-28 10:16:33,2193.84,2024-09-28 10:36:33,2024-09-28 10:32:07.422765,HSR Layout
1000000019,36365,2024-01-29 14:42:41,996.21,2024-01-29 15:12:41,2024-01-29 14:53:04.564165,Jayanagar
1000000020,54313,2023-04-06 17:35:14,1512.26,2023-04-06 17:50:14,2023-04-06 17:40:45.791834,Indiranagar
1000000021,18834,2023-04-17 21:21:04,1333.97,2023-04-17 21:51:04,2023-04-17 21:29:14.529062,Whitefield
1000000022,84847,2024-10-26 15:15:50,1235.14,2024-10-26 15:35:50,2024-10-26 15:30:03.545510,HSR Layout
1000000023,56438,2024-05-22 14:29:55,1849.78,2024-05-22 14:44:55,2024-05-22 14:41:28.235338,Bellandur
1000000024,24322,2023-11-25 11:12:34,1176.67,2023-11-25 11:32:34,2023-11-25 11:21:03.837416,HSR Layout
1000000025,19880,2024-06-11 20:55:54,1420.78,2024-06-11 21:35:54,2024-06-11 21:33:50.752365,Indiranagar
1000000026,40982,2023-09-02 14:31:30,612.99,2023-09-02 14:46:30,2023-09-02 14:36:31.163904,HSR Layout
1000000027,61173,2023-12-12 22:50:50,1192.02,2023-12-12 23:30:50,2023-12-12 23:12:22.809680,HSR Layout
1000000028,34890,2024-01-13 11:03:37,1865.77,2024-01-13 11:28:37,2024-01-13 11:19:42.962458,Indiranagar
1000000029,75909,2024-09-09 10:03:32,292.27,2024-09-09 10:18:32,2024-09-09 10:14:36.614779,Koramangala
1000000030,40828,2024-05-02 09:56:36,690.92,2024-05-02 10:11:36,2024-05-02 10:05:22.381454,Jayanagar
1000000031,86503,2024-10-14 16:20:59,725.84,2024-10-14 16:45:59,2024-10-14 16:33:30.195865,Bellandur
1000000032,98039,2024-01-17 15:20:59,1904.47,2024-01-17 15:35:59,2024-01-17 15:34:58.165398,Indiranagar
1000000033,23104,2023-05-30 16:13:32,736.48,2023-05-30 16:28:32,2023-05-30 16:21:51.544628,Whitefield
1000000034,30676,2024-06-06 21:34:45,826.04,2024-06-06 22:14:45,2024-06-06 22:52:26.049924,Marathahalli
1000000035,49240,2023-06-30 22:08:16,377.03,2023-06-30 22:48:16,2023-06-30 22:22:50.782794,Indiranagar
1000000036,37607,2024-03-01 11:43:40,2146.99,2024-03-01 12:13:40,2024-03-01 12:10:27.749027,Jayanagar
1000000037,16658,2023-06-18 18:27:53,764.03,2023-06-18 18:52:53,2023-06-18 18:44:59.309250,Indiranagar
1000000038,44335,2023-08-28 19:28:35,1793.6,2023-08-28 19:43:35,2023-08-28 20:26:23.122254,Jayanagar
1000000039,29536,2024-09-24 08:53:23,1498.02,2024-09-24 09:23:23,2024-09-24 09:05:46.892024,Koramangala
1000000040,15229,2024-03-16 11:43:15,1700.64,2024-03-16 12:23:15,2024-03-16 12:02:04.009875,Whitefield
1000000041,91351,2023-08-21 22:59:15,2175.05,2023-08-21 23:19:15,2023-08-21 23:04:35.820544,Marathahalli
1000000042,53540,2024-05-10 20:42:55,1864.14,2024-05-10 21:07:55,2024-05-10 21:40:58.067652,Koramangala
1000000043,60140,2023-04-24 21:30:14,578.97,2023-04-24 21:55:14,2023-04-24 22:32:02.829198,HSR Layout
1000000044,39831,2023-10-30 08:42:12,1056.32,2023-10-30 08:57:12,2023-10-30 08:49:42.727496,Whitefield
1000000045,94080,2024-08-18 14:43:53,1386.92,2024-08-18 14:58:53,2024-08-18 14:51:14.056206,Indiranagar
1000000046,86099,2023-12-12 08:06:38,1142.95,2023-12-12 08:31:38,2023-12-12 08:30:20.028868,Bellandur
1000000047,25157,2024-04-13 22:36:12,711.33,2024-04-13 23:06:12,2024-04-13 23:48:13.380397,Bellandur
1000000048,80575,2023-10-03 13:27:04,2377.3,2023-10-03 14:07:04,2023-10-03 14:00:53.951170,Whitefield
1000000049,49363,2024-08-16 12:42:26,882.84,2024-08-16 13:07:26,2024-08-16 12:51:04.697706,Bellandur
1000000050,97153,2024-04-07 18:47:57,517.67,2024-04-07 19:12:57,2024-04-07 19:51:17.940406,Jayanagar
1000000051,49829,2024-01-03 11:27:50,1491.96,2024-01-03 11:52:50,2024-01-03 11:41:14.062171,Bellandur
1000000052,38010,2024-08-20 15:50:57,2403.6,2024-08-20 16:10:57,2024-08-20 15:59:55.380580,Bellandur
1000000053,97012,2024-02-22 09:52:48,663.68,2024-02-22 10:12:48,2024-02-22 10:23:41.649509,Whitefield
1000000054,16057,2023-11-21 15:39:54,1944.37,2023-11-21 16:09:54,2023-11-21 15:58:42.966095,HSR Layout
